relative_path,output_path,extraction_method_used,warnings,title,raw_html_chars,raw_visible_chars,raw_tables,raw_table_rows,raw_headings,raw_lists,raw_code_blocks,cleaned_chars,cleaned_lines,cleaned_nonempty_lines,md_tables,md_headings,md_list_lines,md_code_fences,md_links,boilerplate_phrase_hits,punct_only_short_lines,replacement_chars,metadata_or_title_only,cleaned_to_raw_visible_ratio,cleaned_to_raw_html_ratio,quality_flags,flag_count
adsk-eafc05caa1f442278c583b9ee0694f1b.html,cleaned_corpus\adsk-eafc05caa1f442278c583b9ee0694f1b.md,trafilatura,,Marvel Studios & Autodesk | A Powerful Team-Up of Creative Forces,106592,3223,0,0,11,2,0,1425,17,9,0,1,0,0,4,0,0,0,False,0.4421,0.0134,heading_loss,1
adsk-233fa5314e764bea9885d0c6f18f0a22.html,cleaned_corpus\adsk-233fa5314e764bea9885d0c6f18f0a22.md,trafilatura,,Grading Optimization trial intake,1274999,44848,0,0,92,10,0,1429,62,32,0,2,0,0,5,1,0,0,False,0.0319,0.0011,low_visible_text_retention,1
adsk-72747dd956364ce6a7d59340b36aba3d.html,cleaned_corpus\adsk-72747dd956364ce6a7d59340b36aba3d.md,trafilatura,,Navisworks | Get Prices & Buy Navisworks 2023 | Autodesk,424152,6203,0,0,20,8,0,1547,37,19,0,1,0,0,7,2,0,0,False,0.2494,0.0036,heading_loss,1
adsk-c04de323bd4749d28d54d14647fae656.html,cleaned_corpus\adsk-c04de323bd4749d28d54d14647fae656.md,trafilatura,,Formit Key Features 2022 | Upcoming Advanced Features 2023 | Autodesk,93850,2534,0,0,12,4,0,1612,25,13,0,1,0,0,1,0,0,0,False,0.6361,0.0172,heading_loss,1
adsk-2a89171b345144fd98a21c7eaab2eca8.html,cleaned_corpus\adsk-2a89171b345144fd98a21c7eaab2eca8.md,trafilatura,,Construction Forms and Contracts Software | Autodesk Construction Cloud,215516,2551,0,0,11,0,0,1689,19,10,0,1,0,0,0,0,0,0,False,0.6621,0.0078,heading_loss,1
adsk-c217234b2ddc44ba910ed7e97ee04217.html,cleaned_corpus\adsk-c217234b2ddc44ba910ed7e97ee04217.md,trafilatura,,Construction Bid Software | Autodesk Construction Cloud,215841,2857,0,0,12,0,0,1710,33,17,0,1,0,0,0,0,0,0,False,0.5985,0.0079,heading_loss,1
adsk-b55509c5deaf4c69ad0b4e7d596211ba.html,cleaned_corpus\adsk-b55509c5deaf4c69ad0b4e7d596211ba.md,trafilatura,,Trial Intake | Inventor Nastran 2022 | Autodesk,1570353,45704,0,0,92,10,0,1725,64,33,0,2,0,0,5,1,0,0,False,0.0377,0.0011,low_visible_text_retention,1
adsk-eab0b1c3dcb9413597d53182090d9732.html,cleaned_corpus\adsk-eab0b1c3dcb9413597d53182090d9732.md,trafilatura,,Trial Intake | Inventor 2022 | Autodesk,1510242,45215,0,0,93,10,0,1750,64,33,0,2,0,0,5,1,0,0,False,0.0387,0.0012,low_visible_text_retention,1
adsk-828a0b4ad8bb4b189f12e79935c09c92.html,cleaned_corpus\adsk-828a0b4ad8bb4b189f12e79935c09c92.md,trafilatura,,BIM & GIS Cloud Collaboration | ArcGIS GeoBIM | Autodesk,159946,3548,0,0,14,6,0,1833,25,13,0,1,0,0,0,0,0,0,False,0.5166,0.0115,heading_loss,1
adsk-7d32416bfef6465488086e31450c2e64.html,cleaned_corpus\adsk-7d32416bfef6465488086e31450c2e64.md,trafilatura,,Trial Intake,1986841,45868,0,0,92,10,0,1835,68,35,0,2,0,0,5,1,0,0,False,0.04,0.0009,low_visible_text_retention,1
adsk-354883442ae844be887e0c76c409b8dd.html,cleaned_corpus\adsk-354883442ae844be887e0c76c409b8dd.md,trafilatura,,Free VRED Learning Edition,112987,4108,0,0,16,4,0,1892,27,14,0,1,0,0,0,0,0,0,False,0.4606,0.0167,heading_loss,1
adsk-f31f2d45ba8347d49f5b0fc7f3853d55.html,cleaned_corpus\adsk-f31f2d45ba8347d49f5b0fc7f3853d55.md,trafilatura,,"Customer Help | Buying, Shopping, Delivery, & Payment | Autodesk",161640,12548,0,0,23,24,0,1959,13,7,0,1,0,0,3,2,0,0,False,0.1561,0.0121,heading_loss,1
adsk-bfe5f3d3445b4eb7907df477b1866ff0.html,cleaned_corpus\adsk-bfe5f3d3445b4eb7907df477b1866ff0.md,trafilatura,,"Customer Help | Buying, Shopping, Delivery, & Payment | Autodesk",161640,12548,0,0,23,24,0,1959,13,7,0,1,0,0,3,2,0,0,False,0.1561,0.0121,heading_loss,1
adsk-5918351bd71d4de0ba0349dae0d41bd7.html,cleaned_corpus\adsk-5918351bd71d4de0ba0349dae0d41bd7.md,trafilatura,,Buy With Autodesk | Purchase Options | Autodesk,121832,3441,0,0,9,11,0,2063,23,12,0,1,0,0,0,0,0,0,False,0.5995,0.0169,heading_loss,1
